filename,cup_x,cup_y,pedestal_height,success,n_steps_recorded,attempts_used,closest_post_bounce_cup_dist,bounce_count
cup_0.750_m0.100_z0.000.csv,0.75,-0.10000000149011612,0.0,True,83,5,0.018532875751605345,1
cup_0.750_m0.100_z0.075.csv,0.75,-0.10000000149011612,0.075,True,82,1,0.014123876457012833,1
cup_0.750_m0.100_z0.150.csv,0.75,-0.10000000149011612,0.15,True,91,1,0.017656725998654806,1
cup_0.750_p0.000_z0.000.csv,0.75,0.0,0.0,True,73,1,0.006637247930728523,1
cup_0.750_p0.000_z0.075.csv,0.75,0.0,0.075,True,80,1,0.01721337654740577,1
cup_0.750_p0.000_z0.150.csv,0.75,0.0,0.15,True,82,1,0.0041963921347137325,1
cup_0.750_p0.100_z0.000.csv,0.75,0.10000000149011612,0.0,True,81,1,0.015931462736451414,1
cup_0.750_p0.100_z0.075.csv,0.75,0.10000000149011612,0.075,True,79,1,0.009358429790338659,1
cup_0.750_p0.100_z0.150.csv,0.75,0.10000000149011612,0.15,True,84,1,0.01300924779068326,1
cup_0.850_m0.100_z0.000.csv,0.8500000238418579,-0.10000000149011612,0.0,True,72,1,0.019734501087908383,1
cup_0.850_m0.100_z0.075.csv,0.8500000238418579,-0.10000000149011612,0.075,True,79,1,0.009816218854595306,1
cup_0.850_m0.100_z0.150.csv,0.8500000238418579,-0.10000000149011612,0.15,True,84,1,0.02064640104780492,1
cup_0.850_p0.000_z0.000.csv,0.8500000238418579,0.0,0.0,True,74,1,0.011089572345912782,1
cup_0.850_p0.000_z0.075.csv,0.8500000238418579,0.0,0.075,True,77,1,0.011148271767784703,1
cup_0.850_p0.000_z0.150.csv,0.8500000238418579,0.0,0.15,True,80,1,0.02012181279125653,1
cup_0.850_p0.100_z0.000.csv,0.8500000238418579,0.10000000149011612,0.0,True,74,1,0.013309916390379059,1
cup_0.850_p0.100_z0.075.csv,0.8500000238418579,0.10000000149011612,0.075,True,80,1,0.01678448056106143,1
cup_0.850_p0.100_z0.150.csv,0.8500000238418579,0.10000000149011612,0.15,True,81,1,0.014175499172606375,1
cup_0.950_m0.100_z0.000.csv,0.9500000476837158,-0.10000000149011612,0.0,True,81,1,0.025853955934689362,1
cup_0.950_m0.100_z0.075.csv,0.9500000476837158,-0.10000000149011612,0.075,True,81,1,0.014798459641723442,1
cup_0.950_m0.100_z0.150.csv,0.9500000476837158,-0.10000000149011612,0.15,True,80,1,0.01902876043526015,1
cup_0.950_p0.000_z0.000.csv,0.9500000476837158,0.0,0.0,True,76,1,0.013291898343067392,1
cup_0.950_p0.000_z0.075.csv,0.9500000476837158,0.0,0.075,True,80,1,0.011930216834719726,1
cup_0.950_p0.000_z0.150.csv,0.9500000476837158,0.0,0.15,True,81,1,0.012340022784019812,1
cup_0.950_p0.100_z0.000.csv,0.9500000476837158,0.10000000149011612,0.0,True,82,1,0.022248115226056738,1
cup_0.950_p0.100_z0.075.csv,0.9500000476837158,0.10000000149011612,0.075,True,86,1,0.013522093286260908,1
cup_0.950_p0.100_z0.150.csv,0.9500000476837158,0.10000000149011612,0.15,True,83,1,0.018082358288874254,1
